Thorlabs Beam
Version: 7.0.4131.325
Date: 2019-05-16
Time: 11:06:47

Device: BP109-IR
S/N: M00230332

Resolution [µm]: 1.20
Sample Frequency [Hz]: 200000.00
Sample Count: 7504

Pos X [µm];X;Pos Y [µm];Y;
-4367.92;2.87e-04;-4261.62;-1.86e-04;
-4366.73;2.70e-04;-4260.43;8.50e-05;
-4365.54;1.67e-04;-4259.25;3.07e-04;
-4364.35;-3.16e-05;-4258.06;1.98e-04;
-4363.16;2.54e-04;-4256.87;-1.77e-04;
-4361.97;5.29e-04;-4255.69;-1.24e-04;
-4360.78;2.75e-04;-4254.5;-1.04e-04;
-4359.59;-1.12e-04;-4253.32;1.20e-04;
-4358.4;-4.75e-05;-4252.13;-8.59e-05;
-4357.21;2.21e-04;-4250.95;-1.41e-04;
-4356.02;5.77e-04;-4249.76;7.28e-05;
-4354.83;2.11e-04;-4248.58;2.26e-05;
-4353.64;-5.29e-05;-4247.39;-2.07e-05;
-4352.45;2.48e-05;-4246.21;1.86e-05;
-4351.26;2.02e-04;-4245.02;7.79e-05;
-4350.07;3.80e-04;-4243.84;7.30e-05;
-4348.88;2.72e-04;-4242.65;-5.28e-05;
-4347.69;2.99e-04;-4241.47;2.95e-04;
-4346.5;2.85e-04;-4240.28;1.79e-04;
-4345.31;2.03e-04;-4239.1;-8.19e-05;
-4344.12;3.04e-04;-4237.91;-3.58e-04;
-4342.93;1.91e-05;-4236.72;-2.07e-04;
-4341.74;-1.36e-04;-4235.54;1.80e-04;
-4340.55;3.02e-04;-4234.35;2.75e-04;
-4339.36;5.01e-04;-4233.17;4.03e-05;
-4338.17;3.91e-05;-4231.98;-3.08e-04;
-4336.98;6.98e-05;-4230.8;-3.06e-04;
-4335.79;5.19e-05;-4229.61;1.66e-04;
-4334.6;5.68e-04;-4228.43;1.74e-04;
-4333.41;6.45e-04;-4227.24;1.33e-04;
-4332.22;4.90e-05;-4226.06;-3.86e-05;
-4331.03;-3.86e-04;-4224.87;-3.06e-05;
-4329.84;8.07e-05;-4223.69;-9.24e-05;
-4328.66;4.09e-04;-4222.5;2.30e-04;
-4327.47;7.13e-04;-4221.32;1.41e-04;
-4326.28;2.44e-04;-4220.13;-1.14e-04;
-4325.09;8.61e-05;-4218.95;-1.75e-04;
-4323.9;1.31e-04;-4217.76;2.10e-04;
-4322.71;-1.59e-04;-4216.58;6.25e-05;
-4321.52;5.82e-04;-4215.39;-1.18e-04;
-4320.33;6.11e-04;-4214.2;-1.98e-04;
-4319.14;3.65e-05;-4213.02;2.17e-04;
-4317.95;-1.73e-04;-4211.83;1.85e-04;
-4316.76;1.94e-04;-4210.65;-3.54e-04;
-4315.57;1.22e-04;-4209.46;-4.19e-04;
-4314.38;4.70e-04;-4208.28;2.58e-04;
-4313.19;5.57e-04;-4207.09;4.32e-04;
-4312;2.05e-06;-4205.91;2.74e-04;
-4310.81;-4.24e-05;-4204.72;-3.64e-04;
-4309.62;4.28e-05;-4203.54;-2.82e-04;
-4308.43;2.20e-04;-4202.35;-5.71e-05;
-4307.24;3.70e-04;-4201.17;5.24e-04;
-4306.05;1.19e-04;-4199.98;2.35e-04;
-4304.86;4.48e-04;-4198.8;-3.25e-04;
-4303.67;4.63e-04;-4197.61;2.66e-05;
-4302.48;1.09e-04;-4196.43;8.50e-05;
-4301.29;1.59e-04;-4195.24;-2.18e-04;
-4300.1;2.18e-04;-4194.05;-1.95e-04;
-4298.91;-3.07e-06;-4192.87;1.57e-04;
-4297.72;-5.64e-06;-4191.68;1.12e-04;
-4296.53;2.09e-04;-4190.5;6.02e-05;
-4295.34;4.91e-04;-4189.31;4.29e-05;
-4294.15;1.45e-04;-4188.13;-6.02e-05;
-4292.96;-1.73e-05;-4186.94;6.76e-05;
-4291.77;1.21e-04;-4185.76;-8.99e-05;
-4290.58;3.25e-04;-4184.57;-7.13e-05;
-4289.39;3.50e-04;-4183.39;1.66e-04;
-4288.2;3.62e-04;-4182.2;1.71e-04;
-4287.01;3.24e-04;-4181.02;-1.81e-04;
-4285.82;9.01e-05;-4179.83;-1.34e-04;
-4284.63;2.09e-04;-4178.65;1.72e-05;
-4283.44;2.82e-04;-4177.46;1.04e-04;
-4282.25;9.15e-05;-4176.28;1.05e-04;
-4281.06;1.49e-04;-4175.09;-9.44e-05;
-4279.87;2.18e-04;-4173.9;1.12e-05;
-4278.68;2.44e-04;-4172.72;-3.86e-05;
-4277.49;4.53e-04;-4171.53;1.52e-04;
-4276.3;2.60e-04;-4170.35;-8.73e-05;
-4275.11;4.65e-05;-4169.16;4.51e-05;
-4273.92;5.67e-05;-4167.98;2.02e-04;
-4272.73;1.94e-04;-4166.79;2.05e-04;
-4271.54;4.61e-04;-4165.61;-2.78e-04;
-4270.35;3.15e-04;-4164.42;-3.32e-04;
-4269.16;-4.10e-05;-4163.24;-1.41e-05;
-4267.97;-1.33e-05;-4162.05;3.28e-04;
-4266.78;7.84e-05;-4160.87;1.40e-04;
-4265.59;5.01e-04;-4159.68;-9.36e-05;
-4264.4;6.31e-04;-4158.5;1.02e-04;
-4263.21;3.55e-04;-4157.31;1.30e-04;
-4262.02;5.50e-05;-4156.13;-3.09e-05;
-4260.83;-1.28e-05;-4154.94;-5.00e-05;
-4259.64;7.64e-05;-4153.75;1.51e-04;
-4258.45;5.60e-04;-4152.57;-9.13e-05;
-4257.26;5.74e-04;-4151.38;-1.48e-04;
-4256.07;-1.28e-05;-4150.2;-1.22e-04;
-4254.88;-3.11e-04;-4149.01;1.62e-04;
-4253.69;1.10e-04;-4147.83;2.31e-04;
-4252.5;7.69e-04;-4146.64;1.35e-07;
-4251.31;4.24e-04;-4145.46;-1.85e-04;
-4250.12;7.38e-05;-4144.27;-2.43e-06;
-4248.93;-2.34e-04;-4143.09;1.30e-04;
-4247.74;3.63e-04;-4141.9;-2.49e-05;
-4246.55;4.53e-04;-4140.72;4.85e-05;
-4245.36;2.53e-04;-4139.53;-4.69e-05;
-4244.17;1.94e-04;-4138.35;-3.75e-05;
-4242.98;2.03e-04;-4137.16;-2.33e-04;
-4241.79;2.86e-04;-4135.98;1.56e-04;
-4240.6;3.44e-04;-4134.79;3.31e-04;
-4239.41;1.70e-04;-4133.61;-6.13e-06;
-4238.22;1.54e-04;-4132.42;-4.26e-04;
-4237.03;2.63e-04;-4131.23;-2.71e-04;
